scientific_name,state,presentation,n_CF,n_EU,n_nonEuropean,max_CF,min_CF,range
Salmo trutta,Fresh,gutted,6,5,5,1.15,1.11,0.0399999999999998
Xiphias gladius,Fresh,gilled gutted partly headed fins off,2,2,2,1.333,1.3,0.0329999999999999
Limanda limanda,Frozen,gutted,2,1,1,1.11,1.08,0.03
Melanogrammus aeglefinus,Frozen,gutted,5,3,3,1.17,1.14,0.03
Merluccius capensis m paradox,Frozen,gutted headed tail off,2,2,2,1.53,1.5,0.03
Microgadus tomcod,Fresh,gutted,2,1,2,1.2,1.17,0.03
Micromesistius poutassou,Frozen,gutted headed tail off,2,1,1,1.69,1.66,0.03
Acipenseridae,Fresh,gutted,2,1,1,1.13,1.1,0.0299999999999998
Anarhichas spp,Frozen,gutted and headed,3,2,2,1.63,1.6,0.0299999999999998
Clupea harengus,Frozen,filleted,2,2,2,2.03,2,0.0299999999999998
Hippoglossoides platessoides,Fresh,gutted,5,3,3,1.13,1.1,0.0299999999999998
Labridae,Fresh,gutted,2,1,1,1.13,1.1,0.0299999999999998
Pegusa lascaris,Fresh,gutted,3,2,2,1.13,1.1,0.0299999999999998
Gadiformes,Fresh,gutted,3,2,2,1.2,1.18,0.02
Pandalus borealis,Frozen,whole,8,7,7,1.02,1,0.02
Scophthalmus maximus,Frozen,gutted,2,1,1,1.09,1.07,0.02
Trachurus spp,Fresh,gutted,3,3,3,1.1,1.08,0.02
Trachurus trachurus,Fresh,gutted,3,2,2,1.1,1.08,0.02
Xiphias gladius,Fresh,gutted and headed,4,2,3,1.32,1.3,0.02
Xiphias gladius,Frozen,headed,3,3,3,1.35,1.33,0.02
Diplodus cervinus,Fresh,gutted,2,1,1,1.13,1.11,0.0199999999999998
Thunnus alalunga,Fresh,gutted gilled,3,2,2,1.125,1.11,0.0149999999999999
Thunnus alalunga,Frozen,gutted gilled,2,1,1,1.125,1.11,0.0149999999999999
Katsuwonus pelamis,Fresh,gutted,2,1,2,1.11,1.1,0.01
Lepidorhombus spp,Frozen,gutted,3,2,2,1.06,1.05,0.01
