species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
ALB,TOTAL,TOTAL,EUR,TOTAL,HR	18350.1023 	19205.4272 	74198.6137 	96932.0506 	224264.6199 	131566.0008 	57821.7153 	42645.0865 
ALB,TOTAL,TOTAL,EUR_T,EU,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,TOTAL,TOTAL,EUR_T,HR,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,TOTAL,TOTAL,EUR_T,TOTAL,HR	10794.1778 	10676.2062 	11139.5949 	8600.1287 	7583.2914 	6436.6928 	4908.4648 	6127.1676 
ALB,TOTAL,TOTAL,TPW,EU,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,TOTAL,TOTAL,TPW,HR,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
ALB,TOTAL,TOTAL,TPW,TOTAL,HR	1.7 	1.7989 	6.6608 	11.271 	29.5735 	20.44 	11.78 	6.96 
AMB,FRE,HCN,EUR,EU,HR	182482.3956 	187381.4914 	213629.3879 	554656.7707 	536220.6365 	484369.5047 	159031.0825 	321394.2736 
AMB,FRE,HCN,EUR,HR,HR	182482.3956 	187381.4914 	213629.3879 	554656.7707 	536220.6365 	484369.5047 	159031.0825 	321394.2736 
AMB,FRE,HCN,EUR,TOTAL,HR	182482.3956 	187381.4914 	213629.3879 	554656.7707 	536220.6365 	484369.5047 	159031.0825 	321394.2736 
AMB,FRE,HCN,EUR_T,EU,HR	8731.2151 	8112.81 	6815.9956 	7225.0483 	5959.9838 	6270.1554 	5558.5838 	6096.2495 
AMB,FRE,HCN,EUR_T,HR,HR	8731.2151 	8112.81 	6815.9956 	7225.0483 	5959.9838 	6270.1554 	5558.5838 	6096.2495 
AMB,FRE,HCN,EUR_T,TOTAL,HR	8731.2151 	8112.81 	6815.9956 	7225.0483 	5959.9838 	6270.1554 	5558.5838 	6096.2495 
AMB,FRE,HCN,TPW,EU,HR	20.9 	23.097 	31.3424 	76.7686 	89.9702 	77.25 	28.61 	52.72 
AMB,FRE,HCN,TPW,HR,HR	20.9 	23.097 	31.3424 	76.7686 	89.9702 	77.25 	28.61 	52.72 
AMB,FRE,HCN,TPW,TOTAL,HR	20.9 	23.097 	31.3424 	76.7686 	89.9702 	77.25 	28.61 	52.72 
AMB,FRE,TOTAL,EUR,EU,HR	182482.3956 	187381.4914 	213629.3879 	554656.7707 	536220.6365 	484369.5047 	159031.0825 	321394.2736 
AMB,FRE,TOTAL,EUR,HR,HR	182482.3956 	187381.4914 	213629.3879 	554656.7707 	536220.6365 	484369.5047 	159031.0825 	321394.2736 
AMB,FRE,TOTAL,EUR,TOTAL,HR	182482.3956 	187381.4914 	213629.3879 	554656.7707 	536220.6365 	484369.5047 	159031.0825 	321394.2736 
AMB,FRE,TOTAL,EUR_T,EU,HR	8731.2151 	8112.81 	6815.9956 	7225.0483 	5959.9838 	6270.1554 	5558.5838 	6096.2495 
