species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
ANE,FRE,HCN,EUR,DE,DE	: 	1250 	: 	5877.708 	10949.84 	109840.752 	92173.245 	: 	27167.188 	1992 	: 	4937.036 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR,DK,DE	: 	: 	: 	: 	: 	: 	: 	: 	4864.509 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR,EU,DE	: 	1250 	: 	5877.708 	10949.84 	109840.752 	92173.245 	: 	32031.697 	1992 	: 	4937.036 	3137.896 	43495.2272 	: 	29948.7568 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR,TOTAL,DE	: 	1250 	: 	5877.708 	10949.84 	109840.752 	92173.245 	: 	32031.697 	1992 	: 	4937.036 	3137.896 	43495.2272 	: 	29948.7568 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR_T,DE,DE	: 	250 	: 	224.34 	238.04 	311.34 	232.35 	: 	136.04 	124.5 	: 	136.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR_T,DK,DE	: 	: 	: 	: 	: 	: 	: 	: 	138.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR_T,EU,DE	: 	250 	: 	224.34 	238.04 	311.34 	232.35 	: 	136.4212 	124.5 	: 	136.76 	106.01 	99.6226 	: 	113.8736 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,EUR_T,TOTAL,DE	: 	250 	: 	224.34 	238.04 	311.34 	232.35 	: 	136.4212 	124.5 	: 	136.76 	106.01 	99.6226 	: 	113.8736 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,TPW,DE,DE	: 	5 	: 	26.2 	46 	352.8 	396.7 	: 	199.7 	16 	: 	36.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,TPW,DK,DE	: 	: 	: 	: 	: 	: 	: 	: 	35.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,TPW,EU,DE	: 	5 	: 	26.2 	46 	352.8 	396.7 	: 	234.8 	16 	: 	36.1 	29.6 	436.6 	: 	263 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,HCN,TPW,TOTAL,DE	: 	5 	: 	26.2 	46 	352.8 	396.7 	: 	234.8 	16 	: 	36.1 	29.6 	436.6 	: 	263 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANE,FRE,TOTAL,EUR,DE,DE	: 	1250 	: 	5877.708 	10949.84 	109840.752 	92173.245 	: 	27167.188 	1992 	: 	4937.036 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
