species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ACC,FRE,TOTAL,TPW,EU,PL	6 	: 	: 	0.108 	1.412 	0.3 	1.231 	0.4 	1.1 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,TPW,PL,PL	6 	: 	: 	0.108 	1.412 	0.3 	1.231 	0.4 	1.1 	: 	: 	: 	: 	: 
ACC,FRE,TOTAL,TPW,TOTAL,PL	6 	: 	: 	0.108 	1.412 	0.3 	1.231 	0.4 	1.1 	: 	: 	: 	: 	: 
ACC,FRE_NSP,HCN,TPW,EU,PL	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 
ACC,FRE_NSP,HCN,TPW,PL,PL	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 
ACC,FRE_NSP,HCN,TPW,TOTAL,PL	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 
ACC,FRE_NSP,TOTAL,TPW,EU,PL	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 
ACC,FRE_NSP,TOTAL,TPW,PL,PL	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 
ACC,FRE_NSP,TOTAL,TPW,TOTAL,PL	: 	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,EUR,EU,PL	826.494 	: 	: 	12.906 	168.726 	35.7356 	147.0834 	: 	137.6824 	: 	: 	: 	: 	: 
